sound,date,starttime,endtime,pre,during,post,time_left_feeder,number,species,comments
silent,4/25/2023,10:21:13,10:21:46,absent,absent,feeding,na,1,red-bellied woodpecker,arrived @24
hawk,4/25/2023,10:24:50,10:25:23,feeding,flies away,absent,18,1,red-bellied woodpecker,
human,4/25/2023,10:28:36,10:29:08,feeding,flies away,absent,8,1,red-bellied woodpecker,
human,4/25/2023,10:32:26,10:32:59,feeding,flies away,absent,17,1,red-bellied woodpecker,
hawk,4/25/2023,10:36:00,10:36:33,feeding,flies away,absent,13,1,nuthatch,
bird,4/25/2023,10:39:34,10:40:07,absent,absent,feeding,na,1,tufted tit-mouse,arrived @23
hawk,4/25/2023,10:43:07,10:43:40,absent,flies away,absent,7,1,red-bellied woodpecker,
silent,4/25/2023,10:46:40,10:47:12,absent,feeding,feeding,na,1,tufted tit-mouse,
dog,4/25/2023,10:55:28,10:56:01,feeding,feeding,feeding,na,1,house sparrow,
silent,4/25/2023,10:59:09,10:59:42,absent,absent,feeding,na,1,chickadee,
dog,4/25/2023,11:03:18,11:03:51,absent,feeding,feeding,na,1,red-bellied woodpecker,house sparrow arrived @25
silent,4/25/2023,11:06:51,11:07:24,absent,feeding,feeding,na,1,chickadee,arrived @19
dog,4/25/2023,11:11:47,11:12:20,feeding,flies away,feeding,3,1,nuthatch,came back @31
dog,4/25/2023,11:15:20,11:15:52,flies away,absent,absent,2,1,chickadee,
dog,4/25/2023,11:19:14,11:19:47,absent,feeding,feeding,na,1,chickadee,
human,4/25/2023,11:22:51,11:23:23,feeding,flies away,absent,6,2,nuthatch,chickadee comes and leaves @14
silent,4/25/2023,11:26:33,11:27:06,feeding,flies away,absent,5,1,red-bellied woodpecker,
hawk,4/25/2023,11:30:30,11:31:02,feeding,flies away,absent,5,1,chickadee,
dog,4/25/2023,11:34:11,11:34:43,flies away,absent,absent,2,1,chickadee,
bird,4/25/2023,11:38:05,11:38:38,feeding,feeding,feeding,na,2,nuthatch,red-bellied woodpecker arrived @30
hawk,4/25/2023,11:41:38,11:42:10,feeding,feeding,feeding,na,1,cardinal,
dog,4/25/2023,11:47:48,11:48:20,feeding,flies away,absent,4,1,chickadee,
dog,4/25/2023,11:51:53,11:52:25,absent,absent,feeding,na,1,chickadee,arrived @29
dog,4/25/2023,11:55:26,11:55:58,feeding,feeding,feeding,na,1,house sparrow,
silent,4/25/2023,11:59:00,11:59:33,feeding,feeding,feeding,na,1,house finch,
hawk,4/25/2023,12:03:10,12:03:43,na,na,na,na,na,na,wind triggered
hawk,4/25/2023,12:06:43,12:07:15,feeding,feeding,feeding,na,2,house finch,
human,4/25/2023,12:10:15,12:10:48,feeding,feeding,feeding,na,1,house sparrow,
